id,titulo,orientacion,carrera,resolucion,modalidad,institucion_id
1659,DOCTOR/A EN CIENCIAS NATURALES Y AMBIENTALES,,DOCTORADO EN CIENCIAS NATURALES Y AMBIENTALES,R.M./1037/2018,PRESENCIAL,4
1660,DOCTOR/A EN INGENIERÍA INDUSTRIAL,,DOCTORADO EN INGENIERÍA INDUSTRIAL,R.M./3059/2017,PRESENCIAL,4
1661,DOCTOR EN ALIMENTOS CON ORIENTACION EN CIENCIA,CIENCIA,,R.M.1593/08,PRESENCIAL,4
1662,DOCTOR EN ALIMENTOS CON ORIENTACION EN INGENIERIA,INGENIERIA,,R.M.1593/08,PRESENCIAL,4
1663,DOCTOR EN CIENCIAS AGRONÓMICAS,,DOCTORADO EN CIENCIAS AGRONÓMICAS,EN TRAMITE,PRESENCIAL,4
1664,DOCTOR EN CIENCIAS SOCIALES,,DOCTORADO EN CIENCIAS SOCIALES,R.M./1020/2013,PRESENCIAL,4
1665,DOCTOR EN CIENCIAS SOCIALES,,DOCTORADO EN CIENCIAS SOCIALES,R.M./2290/2016,PRESENCIAL,4
1666,DOCTOR EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,,,R.M.0070/02 - R.M.0162/07,PRESENCIAL,4
1667,ESPECIALISTA EN DOCENCIA SUPERIOR,,,R.M.0116/02,PRESENCIAL,4
1668,ESPECIALISTA EN GERENCIA Y VINCULACIÓN TECNOLÓGICA,,ESPECIALIZACIÓN EN GERENCIA Y VINCULACIÓN TECNOLÓGICA,R.M./1869/2017,PRESENCIAL,4
1669,ESPECIALISTA EN GERENCIA Y VINCULACIÓN TECNOLÓGICA,,ESPECIALIZACIÓN EN GERENCIA Y VINCULACIÓN TECNOLÓGICA,R.M./0470/2013 - R.M./470/2013,PRESENCIAL,4
1670,ESPECIALISTA EN GESTIÓN PÚBLICA,,,R.M.0603/00,PRESENCIAL,4
1671,ESPECIALISTA EN INVESTIGACIÓN EDUCATIVA,,,R.M.0596/04,PRESENCIAL,4
1672,"ESPECIALISTA EN LA ENSEÑANZA DE LA BIOLOGÍA, Ó  FÍSICA, Ó QUÍMICA, Ó MATEMÁTICA, Ó CIENCIAS DE LA TIERRA",,ESPECIALIZACIÓN EN LA ENSEÑANZA DE LAS CIENCIAS EXACTAS Y NATURALES,R.M./454/2021,PRESENCIAL,4
1673,MAGISTER EN ALIMENTOS CON ORIENTACION EN CIENCIA,CIENCIA,,R.M.0907/08,PRESENCIAL,4
1674,MAGISTER EN ALIMENTOS CON ORIENTACION EN TECNOLOGIA,TECNOLOGIA,,R.M.0907/08,PRESENCIAL,4
1675,MAGÍSTER EN DESARROLLO DE ZONAS ÁRIDAS Y SEMIÁRIDAS,,,R.M.0887/03,PRESENCIAL,4
1676,MAGÍSTER EN DESARROLLO DE ZONAS ÁRIDAS Y SEMIÁRIDAS,,MAESTRÍA EN DESARROLLO DE ZONAS ÁRIDAS Y SEMIÁRIDAS,EN TRAMITE,PRESENCIAL,4
1677,MAGISTER EN INGENIERIA GERENCIAL,,,R.M.1258/95,PRESENCIAL,4
1678,MAGISTER EN PASADO ANDINO,,,R.M.1145/01,PRESENCIAL,4
1679,MAGÍSTER EN RIEGO Y USO AGROPECUARIO DEL AGUA,,MAESTRÍA EN RIEGO Y USO AGROPECUARIO DEL AGUA,EN TRAMITE,PRESENCIAL,4
1680,MAGÍSTER EN TEORÍA Y METODOLOGÍA DE LAS CIENCIAS SOCIALES,,,R.M.0602/00,PRESENCIAL,4
1681,MAGÍSTER EN TEORÍA Y METODOLOGÍA DE LAS CIENCIAS SOCIALES,,MAESTRÍA EN TEORÍA Y METODOLOGÍA DE LAS CIENCIAS SOCIALES,R.M./785/2021,PRESENCIAL,4
1682,DOCTOR EN ARTES,,DOCTORADO EN ARTES,R.M./2866/2015,PRESENCIAL,5
1683,ESPECIALISTA EN ARTE TERAPIA,,,R.M.0283/99,PRESENCIAL,5
1684,ESPECIALISTA EN ARTE TERAPIA,,ESPECIALIZACIÓN EN ARTE TERAPIA,R.M./394/2019,PRESENCIAL,5
1685,ESPECIALISTA EN ARTE TERAPIA,,ESPECIALIZACIÓN EN ARTE TERAPIA,R.M./468/2019,PRESENCIAL,5
1686,ESPECIALISTA EN COLOR,,,R.M.0283/99,PRESENCIAL,5
1687,ESPECIALISTA EN DANZA MOVIMIENTO TERAPIA,,ESPECIALIZACIÓN EN DANZA MOVIMIENTO TERAPIA,R.M./141/2017,PRESENCIAL,5
1688,ESPECIALISTA EN DRAMATURGIA,,ESPECIALIZACIÓN EN DRAMATURGIA,R.M.0283/99 - R.M./2445/2013,PRESENCIAL,5
1689,ESPECIALISTA EN FORMACIÓN DE FORMADORES,,,R.M.0283/99,PRESENCIAL,5
1690,ESPECIALISTA EN GESTION Y ADMINISTRACION CULTURAL,,,R.M.0283/99,PRESENCIAL,5
1691,ESPECIALISTA EN LENGUAJES ARTÍSTICOS COMBINADOS,,ESPECIALIZACIÓN EN LENGUAJES ARTÍSTICOS COMBINADOS,R.M.0280/09 - R.M./504/2016,PRESENCIAL,5
1692,ESPECIALISTA EN MEDIOS Y TECNOLOGÍAS PARA LA PRODUCCIÓN PICTÓRICA,,ESPECIALIZACIÓN EN MEDIOS Y TECNOLOGÍAS PARA LA  PRODUCCIÓN PICTÓRICA,R.M.1582/05 - R.M./1311/2015,PRESENCIAL,5
1693,ESPECIALISTA EN PRODUCCIÓN DE TEXTOS CRÍTICOS Y DE DIFUSIÓN MEDIÁTICA DE LAS ARTES,,ESPECIALIZACIÓN EN PRODUCCIÓN DE TEXTOS CRÍTICOS Y DE DIFUSIÓN MEDIÁTICA DE LAS ARTES,R.M./2351/2012,PRESENCIAL,5
1694,ESPECIALISTA EN SONIDO APLICADO A LAS ARTES DIGITALES,,,R.M.0979/11,PRESENCIAL,5
1695,"ESPECIALISTA EN TEATRO DE OBJETOS, INTERACTIVIDAD Y NUEVOS MEDIOS",,"ESPECIALIZACIÓN EN TEATRO DE OBJETOS, INTERACTIVIDAD Y NUEVOS MEDIOS",R.M./1807/2013,PRESENCIAL,5
1696,"ESPECIALISTA EN TEATRO DE OBJETOS, INTERACTIVIDAD Y NUEVOS MEDIOS",,"ESPECIALIZACIÓN EN TEATRO DE OBJETOS, INTERACTIVIDAD Y NUEVOS MEDIOS",R.M./599/2019,PRESENCIAL,5
1697,ESPECIALISTA EN TENDENCIAS CONTEMPORANEAS DE LA DANZA,,,R.M.0539/06,PRESENCIAL,5
1698,MAGISTER EN CINE DE AMÉRICA DEL SUR,,MAESTRÍA EN  CINE DE AMÉRICA DEL SUR,R.M./1689/2014,PRESENCIAL,5
1699,MAGISTER EN COLOR,,,R.M.0283/99,PRESENCIAL,5
1700,MAGÍSTER  EN CRÍTICA Y DIFUSIÓN DE LAS ARTES,,MAESTRÍA EN CRÍTICA Y DIFUSIÓN DE LAS ARTES,R.M./465/2018,PRESENCIAL,5
1701,MAGÍSTER  EN CRÍTICA Y DIFUSIÓN DE LAS ARTES,,MAESTRÍA EN CRÍTICA Y DIFUSIÓN  DE LAS ARTES,R.M./1573/2015,PRESENCIAL,5
1702,MAGISTER EN DANZA MOVIMIENTO TERAPIA,,MAESTRÍA EN DANZA MOVIMIENTO TERAPIA,R.M./2596/2019,PRESENCIAL,5
1703,MAGISTER EN DRAMATURGIA,,MAESTRÍA EN DRAMATURGIA,R.M./1605/2013,PRESENCIAL,5
1704,MAGÍSTER EN HISTORIA DEL ARTE MODERNO Y CONTEMPORÁNEO,,MAESTRÍA EN HISTORIA DEL ARTE MODERNO Y CONTEMPORÁNEO,R.M./1020/2020,PRESENCIAL,5
1705,MAGÍSTER EN LENGUAJES ARTÍSTICOS COMBINADOS,,MAESTRÍA EN LENGUAJES ARTÍSTICOS COMBINADOS,R.M./307/2015 - R.M./896/2017,PRESENCIAL,5
1706,MAGÍSTER EN TEATRO Y ARTES PERFORMÁTICAS,,MAESTRÍA EN TEATRO Y ARTES PERFORMÁTICAS,R.M./4069/2017,PRESENCIAL,5
1707,DOCTOR EN COMUNICACIÓN SOCIAL,,,R.M.1855/88,PRESENCIAL,6
1708,ESPECIALISTA EN DERECHO DE DAÑOS,,,R.M.0565/95,PRESENCIAL,6
1709,ESPECIALISTA EN DERECHO PROCESAL,,,R.M.0485/09,PRESENCIAL,6
1710,ESPECIALISTA EN DERECHOS HUMANOS,,ESPECIALIZACIÓN EN DERECHOS HUMANOS,R.M./2539/2019,PRESENCIAL,6
1711,ESPECIALISTA EN DESARROLLO DE RECURSOS HUMANOS,,,R.M.1572/98,PRESENCIAL,6
1712,ESPECIALISTA  EN INGENIERÍA WEB,,ESPECIALIZACIÓN EN INGENIERÍA WEB,R.M./1743/2016,PRESENCIAL,6
1713,ESPECIALISTA EN MAGISTRATURA Y GESTIÓN JUDICIAL,,ESPECIALIZACIÓN EN MAGISTRATURA Y GESTIÓN JUDICIAL,R.M./3119/2015 - R.M./836/2021,PRESENCIAL,6
1714,ESPECIALISTA EN SINDICATURA CONCURSAL,,,R.M.1574/98,PRESENCIAL,6
1715,MAGISTER EN DIRECCIÓN DE EMPRESAS,,,R.M.2805/94,PRESENCIAL,6
1716,MAGISTER EN ORDENAMIENTO TERRITORIAL,,MAESTRIA EN ORDENAMIENTO TERRITORIAL,R.M./365/2019,PRESENCIAL,6
1717,"DOCTOR/A EN ALIMENTOS CON ORIENTACIÓN EN CIENCIA; DOCTOR/A EN ALIMENTOS,CON ORIENTACIÓN EN INGENIERÍA","CIENCIA; DOCTOR/A EN ALIMENTOS,CON ORIENTACIÓN EN INGENIERÍA",DOCTORADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,R.M./120/2018,PRESENCIAL,7
1718,DOCTOR/A EN CIENCIAS - ÁREA QUÍMICA APLICADA,,DOCTORADO EN CIENCIAS ÁREA QUÍMICA APLICADA,R.M./2144/2018,PRESENCIAL,7
1719,DOCTOR/A EN CIENCIAS GEOLÓGICAS,,DOCTORADO EN CIENCIAS GEOLÓGICAS,R.M./1969/2019,PRESENCIAL,7
1720,DOCTOR/A EN INGENIERÍA,,DOCTORADO EN INGENIERÍA,R.M./1967/2019,PRESENCIAL,7
1721,DOCTOR/A EN INGENIERÍA INDUSTRIAL,,DOCTORADO EN INGENIERÍA INDUSTRIAL,R.M./3059/2017,PRESENCIAL,7
1722,DOCTOR EN ALIMENTOS CON ORIENTACION EN CIENCIA,CIENCIA,,R.M.1593/08,PRESENCIAL,7
1723,DOCTOR EN ALIMENTOS CON ORIENTACION EN INGENIERIA, INGENIERIA,,R.M.1593/08,PRESENCIAL,7
1724,DOCTOR EN CIENCIAS ÁREA ENERGÍAS RENOVABLES,,DOCTORADO EN CIENCIAS ÁREA ENERGÍAS RENOVABLES,R.M.1182/02 - R.M.1032/03 - R.M./527/2015,PRESENCIAL,7
1725,DOCTOR EN CIENCIAS - AREA QUIMICA,,,R.M.1032/03,PRESENCIAL,7
1726,DOCTOR EN CIENCIAS -AREA QUIMICA APLICADA,,,R.M.0546/09,PRESENCIAL,7
1727,DOCTOR EN CIENCIAS BIOLÓGICAS,,DOCTORADO EN CIENCIAS BIOLÓGICAS,R.M.0790/09 - R.M./2426/2015,PRESENCIAL,7
1728,DOCTOR EN CIENCIAS GEOLÓGICAS,,,R.R.0770/75 - R.M.0296/03 - R.M.0725/05,PRESENCIAL,7
1729,DOCTOR EN INGENIERÍA,,,R.M.0776/10,PRESENCIAL,7
1730,DOCTOR EN SALUD PUBLICA,,,R.M.0690/11,PRESENCIAL,7
1731,"ESPECIALISTA, DE LA UNIVERSIDAD NACIONAL DE SALTA, EN SALUD PÚBLICA",,ESPECIALIZACIÓN EN SALUD PÚBLICA,R.M./2611/2018,PRESENCIAL,7
1732,ESPECIALISTA EN ADMINISTRACIÓN Y GERENCIA FINANCIERA PÚBLICAS,,ESPECIALIZACIÓN EN ADMINISTRACIÓN Y GERENCIA FINANCIERA PÚBLICAS,R.M./1004/2018,PRESENCIAL,7
1733,ESPECIALISTA EN DERECHOS HUMANOS,,ESPECIALIZACIÓN EN DERECHOS HUMANOS,R.M./726/2017,PRESENCIAL,7
1734,ESPECIALISTA EN DERECHOS HUMANOS,,,R.M.1490/11,PRESENCIAL,7
1735,ESPECIALISTA EN DISEÑO DE INFRAESTRUCTURAS DE GAS NATURAL,,ESPECIALIZACIÓN EN DISEÑO DE INFRAESTRUCTURAS DE GAS NATURAL,R.M./383/2020,PRESENCIAL,7
1736,ESPECIALISTA EN DISEÑO DE REDES E INSTALACIONES DE GAS NATURAL,,ESPECIALIZACIÓN EN DISEÑO DE REDES E INSTALACIONES DE GAS NATURAL,R.M./1647/2016,PRESENCIAL,7
1737,ESPECIALISTA EN DOCENCIA UNIVERSITARIA,,,R.M.0479/09,PRESENCIAL,7
1738,ESPECIALISTA EN DOCENCIA UNIVERSITARIA,,ESPECIALIZACIÓN EN DOCENCIA UNIVERSITARIA,R.M./1990/2016,PRESENCIAL,7
1739,ESPECIALISTA EN ENERGÍAS RENOVABLES,,ESPECIALIZACIÓN EN ENERGÍAS RENOVABLES,R.M.0563/02 - R.M./82/2015,PRESENCIAL,7
1740,"ESPECIALISTA EN GESTIÓN DE LA CALIDAD EN SERVICIOS DE SALUD CON MENCIÓN EN SERVICIOS DE ENFERMERÍA, Ó MENCIÓN EN SERVICIOS DE NUTRICIÓN",,ESPECIALIZACIÓN EN GESTIÓN DE LA CALIDAD EN SERVICIOS DE SALUD: MENCIÓN EN SERVICIOS DE ENFERMERÍA O MENCIÓN EN SERVICIOS DE NUTRICIÓN,R.M./633/2016,PRESENCIAL,7
1741,ESPECIALISTA EN MEDIACIÓN EDUCATIVA,,ESPECIALIZACIÓN EN MEDIACIÓN EDUCATIVA,R.M./1456/2019,PRESENCIAL,7
1742,ESPECIALISTA EN PLANIFICACIÓN Y GESTIÓN DE POLÍTICAS SOCIALES,,ESPECIALIZACIÓN EN PLANIFICACIÓN DE POLÍTICAS SOCIALES,R.M./3162/2015,PRESENCIAL,7
1743,ESPECIALISTA EN PRODUCCIÓN Y TRATAMIENTO DE GAS NATURAL,,ESPECIALIZACIÓN EN PRODUCCIÓN Y TRATAMIENTO DE GAS NATURAL,R.M./1658/2016,PRESENCIAL,7
1744,ESPECIALISTA EN PSICOPEDAGOGÍA INSTITUCIONAL,,ESPECIALIZACIÓN EN PSICOPEDAGOGÍA INSTITUCIONAL,R.M./990/2015,PRESENCIAL,7
1745,ESPECIALISTA EN SALUD PÚBLICA,,,R.M.0543/02,PRESENCIAL,7
1746,ESPECIALISTA EN SALUD PÚBLICA,,ESPECIALIZACIÓN EN SALUD PÚBLICA,EN TRAMITE,PRESENCIAL,7
1747,ESPECIALISTA EN SINDICATURA CONCURSAL,,,R.M.0946/01,PRESENCIAL,7
1748,ESPECIALISTA EN TRIBUTACIÓN,,,R.M.0618/09,PRESENCIAL,7
1749,ESPECIALISTA EN TRIBUTACIÓN,,ESPECIALIZACIÓN EN TRIBUTACIÓN,R.M./3339/2017,PRESENCIAL,7
1750,ESPECIALISTA EN TURISMO SUSTENTABLE,,ESPECIALIDAD EN TURISMO SUSTENTABLE,R.M./3528/2017,PRESENCIAL,7
1751,MAGISTER EN ADMINISTRACIÓN FINANCIERA Y CONTROL DEL SECTOR PÚBLICO,,MAESTRÍA EN ADMINISTRACIÓN FINANCIERA Y CONTROL DEL SECTOR PÚBLICO,R.M./602/2019,PRESENCIAL,7
1752,MAGISTER EN ALIMENTOS CON ORIENTACION EN CIENCIA, CIENCIA,,R.M.0907/08,PRESENCIAL,7
1753,MAGISTER EN ALIMENTOS CON ORIENTACION EN TECNOLOGIA,TECNOLOGIA,,R.M.0907/08,PRESENCIAL,7
1754,MAGÍSTER EN CIENCIAS DEL LENGUAJE,,MAESTRIA EN CIENCIAS DEL LENGUAJE,R.M.0332/10 - R.M./2342/2015,PRESENCIAL,7
1755,MAGÍSTER EN DERECHO PRIVADO CON ORIENTACIÓN EN DERECHO DE DAÑOS Y RESPONSABILIDAD CIVIL,DERECHO DE DAÑOS Y RESPONSABILIDAD CIVIL,MAESTRÍA EN DERECHO PRIVADO,R.M./415/2021,PRESENCIAL,7
1756,MAGÍSTER EN DERECHO PRIVADO CON ORIENTACIÓN EN DERECHO DE FAMILIA Y SUCESIONES, DERECHO DE FAMILIA Y SUCESIONES,MAESTRÍA EN DERECHO PRIVADO,R.M./415/2021,PRESENCIAL,7
1757,MAGÍSTER EN DERECHO PRIVADO CON ORIENTACIÓN EN DERECHO DE LA EMPRESA,DERECHO DE LA EMPRESA,MAESTRÍA EN DERECHO PRIVADO,R.M./415/2021,PRESENCIAL,7
1758,MAGISTER EN DERECHOS HUMANOS,,MAESTRÍA EN DERECHOS HUMANOS,R.M./592/2017,PRESENCIAL,7
1759,MAGÍSTER EN DESARROLLO DE ZONAS ÁRIDAS Y SEMIÁRIDAS,,MAESTRÍA EN DESARROLLO DE ZONAS ÁRIDAS Y SEMIÁRIDAS,R.M./2523/2019 - R.M./644/2020,PRESENCIAL,7
1760,MAGÍSTER EN DESARROLLO DE ZONAS ÁRIDAS Y SEMIÁRIDAS,,MAESTRÍA EN DESARROLLO DE ZONAS ÁRIDAS Y SEMIÁRIDAS,EN TRAMITE,PRESENCIAL,7
1761,MAGISTER EN DESARROLLO PARA ZONAS ARIDAS Y SEMIARIDAS,,,R.M.1030/01,PRESENCIAL,7
1762,MAGISTER EN ENERGÍAS RENOVABLES,,MAESTRÍA EN ENERGÍAS RENOVABLES,R.M.1255/01 - R.M./1694/2014,PRESENCIAL,7
1763,MAGISTER EN ESTUDIOS LITERARIOS,,,R.M.0278/10,PRESENCIAL,7
1764,MAGÍSTER EN MATEMÁTICA APLICADA,,MAESTRÍA EN MATEMÁTICA APLICADA,R.M./924/2019,PRESENCIAL,7
1765,MAGÍSTER EN MATEMÁTICA APLICADA,,MAESTRÍA EN MATEMÁTICA APLICADA,R.M./3084/2015,PRESENCIAL,7
1766,MAGÍSTER EN POLÍTICAS SOCIALES,,MAESTRÍA EN POLÍTICAS SOCIALES,R.M./2412/2015,PRESENCIAL,7
1767,MAGISTER EN RECURSOS NATURALES Y MEDIO AMBIENTE,,MAESTRÍA EN RECURSOS NATURALES Y MEDIO AMBIENTE,R.M.0752/09 - R.M./1575/2015,PRESENCIAL,7
1768,MAGÍSTER EN RIEGO Y USO AGROPECUARIO DEL AGUA,,MAESTRÍA EN RIEGO Y USO AGROPECUARIO DEL AGUA,EN TRAMITE,PRESENCIAL,7
1769,MAGISTER EN SALUD PÚBLICA,,,R.M.0543/02,PRESENCIAL,7
1770,MAGÍSTER EN SALUD PÚBLICA CON MENCIÓN EN ATENCIÓN PRIMARIA DE LA SALUD,,MAESTRÍA EN SALUD PÚBLICA CON MENCIÓN EN ATENCIÓN PRIMARIA DE LA SALUD,R.M./2816/2015,PRESENCIAL,7
1771,MAGÍSTER EN TURISMO SUSTENTABLE,,MAESTRÍA EN TURISMO SUSTENTABLE,R.M./3457/2017,PRESENCIAL,7
1772,ABOGADO ESPECIALISTA EN DERECHO TRIBUTARIO,,ESPECIALIZACIÓN EN DERECHO TRIBUTARIO,R.M./2454/2013,PRESENCIAL,8
1773,ABOGADO ESPECIALIZADO EN DERECHO TRIBUTARIO,,,C.S.,PRESENCIAL,8
1774,ABOGADO ESPECIALIZADO EN SOCIOLOGIA JURIDICA,,,C.S.,PRESENCIAL,8
1775,"DOCTOR/A DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA ANTROPOLOGÍA",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA ANTROPOLOGÍA",R.M./4386/2017 - R.M./371/2021,PRESENCIAL,8
1776,"DOCTOR/A DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA ARQUITECTURA, ÁREA DISEÑO Y ÁREA URBANISMO",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA ARQUITECTURA, ÁREA DISEÑO Y ÁREA URBANISMO",R.M./3743/2017,PRESENCIAL,8
1777,DOCTOR/A DE LA UNIVERSIDAD DE BUENOS AIRES ÁREA CIENCIAS VETERINARIAS,,DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES ÁREA CIENCIAS VETERINARIAS,R.M.0843/11 - R.M./843/2011 - R.M./3979/2017 - R.M./2114/2019,PRESENCIAL,8
1778,DOCTOR/A DE LA UNIVERSIDAD DE BUENOS AIRES ÁREA ODONTOLOGÍA,,DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES EN LA FACULTAD DE ODONTOLOGÍA,R.M.0190/11 - R.M./1556/2012 - R.M./2496/2019,PRESENCIAL,8
1779,DOCTOR/A DE LA UNIVERSIDAD DE BUENOS AIRES EN CIENCIAS SOCIALES,,DOCTORADO DE LA UNIVERSIDAD DE BUENOS ARIES EN CIENCIAS SOCIALES,R.M./4156/2017,PRESENCIAL,8
1780,DOCTOR/A EN GEOGRAFÍA,,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA GEOGRAFÍA",R.M./3760/2017,PRESENCIAL,8
1781,DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES,,,R.M./956/2011,PRESENCIAL,8
1782,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA ARQUEOLOGÍA",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA ARQUEOLOGÍA",R.M./2814/2015,PRESENCIAL,8
1783,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA ARQUITECTURA",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA ARQUITECTURA",R.M./2421/2016,PRESENCIAL,8
1784,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA CIENCIAS AGROPECUARIAS",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA CIENCIAS AGROPECUARIAS",R.M./1423/2016,PRESENCIAL,8
1785,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA CIENCIAS AGROPECUARIAS",,,R.M.0645/11,PRESENCIAL,8
1786,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES,  ÁREA CIENCIAS BIOLÓGICAS",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES,  ÁREA CIENCIAS BIOLÓGICAS",R.M./1074/2015,PRESENCIAL,8
1787,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES AREA, CIENCIAS DE LA ATMOSFERA",,,R.M.0656/11,PRESENCIAL,8
1788,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA CIENCIAS DE LA ATMÓSFERA Y LOS OCÉANOS",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA CIENCIAS DE LA ATMÓSFERA Y LOS OCÉANOS",R.M./1779/2016,PRESENCIAL,8
1789,DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES ÁREA CIENCIAS DE LA EDUCACIÓN,,DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES ÁREA CIENCIAS DE LA EDUCACIÓN,R.M./2242/2015,PRESENCIAL,8
1790,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES,  ÁREA CIENCIAS FÍSICAS",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA CIENCIAS FÍSICAS",R.M.0657/11 - R.M./115/2015,PRESENCIAL,8
1791,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA  CIENCIAS GEOLÓGICAS",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA CIENCIAS GEOLÓGICAS",R.M./729/2016,PRESENCIAL,8
1792,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA CIENCIAS MATEMÁTICAS",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA CIENCIAS MATEMÁTICAS",R.M.0651/11 - R.M./1083/2015,PRESENCIAL,8
1793,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, AREA CIENCIAS QUIMICAS, ORIENTACION BIOQUIMICA Y BIOLOGIA MOLECULAR",BIOQUIMICA Y BIOLOGIA MOLECULAR,,R.M.0654/11,PRESENCIAL,8
1794,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, AREA CIENCIAS QUIMICAS, ORIENTACION INDUSTRIAL", INDUSTRIAL,,R.M.0649/11,PRESENCIAL,8
1795,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES AREA CIENCIAS QUIMICAS, ORIENTACION QUIMICA BIOLOGICA",QUIMICA BIOLOGICA,,R.M.0653/11,PRESENCIAL,8
1796,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, AREA DE CIENCIAS ECONOMICAS",,,R.M.0948/11,PRESENCIAL,8
1797,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, AREA DE CIENCIAS ECONOMICAS",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA DE CIENCIAS ECONÓMICAS",R.M./2421/2013,PRESENCIAL,8
1798,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA DISEÑO",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA DISEÑO",R.M./2154/2016,PRESENCIAL,8
1799,DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES ÁREA  ESTUDIOS DE GÉNERO,,DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES ÁREA  ESTUDIOS DE GÉNERO,R.M./1098/2017,PRESENCIAL,8
1800,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, AREA FARMACIA Y BIOQUIMICA",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA FARMACIA Y BIOQUÍMICA",R.M.0685/11 - R.M./2455/2013,PRESENCIAL,8
1801,DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES ÁREA FILOSOFÍA,,DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES ÁREA FILOSOFÍA,R.M./143/2017,PRESENCIAL,8
1802,DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES ÁREA HISTORIA,,DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES ÁREA HISTORIA,R.M./1390/2017,PRESENCIAL,8
1803,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA HISTORIA Y TEORÍA DE LAS ARTES",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA HISTORIA Y TEORÍA DE LAS ARTES",R.M./64/2015,PRESENCIAL,8
1804,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA INGENIERÍA",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA INGENIERÍA",R.M./151/2017,PRESENCIAL,8
1805,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA LETRAS CLÁSICAS",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA LETRAS CLÁSICAS",R.M./782/2015,PRESENCIAL,8
1806,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA LINGÜÍSTICA",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA LINGÜÍSTICA",R.M./1504/2014,PRESENCIAL,8
1807,"DOCTOR DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA LITERATURA",,"DOCTORADO DE LA UNIVERSIDAD DE BUENOS AIRES, ÁREA LITERATURA",R.M./1575/2014,PRESENCIAL,8
